# Official SEC N-PORT invstOrSec extract for SPSK accession 0002000324-26-003239 as-of 2026-05-31
# columns: name lei title cusip isin maturityDt pctVal valUSD curCd issuerCat assetCat invCountry
Isdb Trust Services NO 2 SARL	N/A	Isdb Trust Services NO 2 SARL	N/A	XS3019726523	2030-03-18	0.9254907420379254	4912730.79	USD	CORP	DBT	LU
Isdb Trust Services NO 2 SARL	N/A	Isdb Trust Services NO 2 SARL	N/A	XS3091029911	2030-06-25	0.9691589503452265	5144532.3	USD	CORP	DBT	LU
KFH Sukuk Co	N/A	KFH Sukuk Co	N/A	XS2744854261	2029-01-17	0.5477988038964003	2907849.78	USD	CORP	DBT	KY
KFH Sukuk Co	N/A	KFH Sukuk Co	N/A	XS2974156627	2030-01-14	0.5863089920790692	3112271.26	USD	CORP	DBT	KY
KFH Sukuk Co	N/A	KFH Sukuk Co	N/A	XS3261852134	2031-01-13	0.5139768816327557	2728314.76	USD	CORP	DBT	KY
Khazanah Global Sukuk Bhd	N/A	Khazanah Global Sukuk Bhd	N/A	XS2629054201	2028-06-01	0.43538418873288515	2311125.56	USD	CORP	DBT	MY
Khazanah Global Sukuk Bhd	N/A	Khazanah Global Sukuk Bhd	N/A	XS2894850820	2029-09-05	0.26423544926714526	1402626.27	USD	CORP	DBT	MY
KSA Ijarah Sukuk Ltd	N/A	KSA Ijarah Sukuk Ltd	N/A	XS3174822562	2030-09-09	1.2294006872813714	6525958.97	USD	CORP	DBT	KY
KSA Ijarah Sukuk Ltd	N/A	KSA Ijarah Sukuk Ltd	N/A	XS3174822646	2035-09-09	1.7742946341949422	9418389.06	USD	CORP	DBT	KY
KSA Sukuk Ltd	N/A	KSA Sukuk Ltd	G5321UAE7	XS1881581968	2029-01-19	1.1190931605912	5940419.69	USD	CORP	DBT	KY
KSA Sukuk Ltd	N/A	KSA Sukuk Ltd	G5321UAF4	XS2072816114	2029-10-29	1.3189335948137466	7001221.5	USD	CORP	DBT	KY
KSA Sukuk Ltd	N/A	KSA Sukuk Ltd	G5321UAG2	XS2408477797	2031-05-17	1.0020822647280507	5319297.29	USD	CORP	DBT	KY
KSA Sukuk Ltd	N/A	KSA Sukuk Ltd	N/A	XS2548889406	2028-10-25	1.4127605663496914	7499277.97	USD	CORP	DBT	KY
KSA Sukuk Ltd	N/A	KSA Sukuk Ltd	N/A	XS2626270040	2029-05-22	1.6812776178725106	8924632.03	USD	CORP	DBT	KY
